a method for estimation of XXXXX of XXXXX is presented	['effective properties', 'porous materials']
the l1/2 penalized XXXXX is able to reduce the size of the predictor even further at moderate costs for the XXXXX	['cox model', 'prediction accuracy']
the l1/2 penalized XXXXX is suitable for XXXXX with the high dimensional biological data	['cox model', 'survival analysis']
the user-interest ontology construction is proposed by using user log profile . we describe three steps of ontology construction approach : concept selection , the generation of optimized XXXXX , the process of translating XXXXX into user-interest ontology . it is worth to be mentioned that we can revise and update the user-interest ontology using the optimized XXXXX by fca . the more time the user uses XXXXX , the richer knowledge the user-interest ontology contains	['concept lattice', 'search engine']
the user-interest XXXXX is proposed by using user log profile . we describe three steps of XXXXX approach : concept selection , the generation of optimized XXXXX , the process of translating XXXXX into user-interest ontology . it is worth to be mentioned that we can revise and update the user-interest ontology using the optimized XXXXX by fca . the more time the user uses search engine , the richer knowledge the user-interest ontology contains	['concept lattice', 'ontology construction']
the user-interest XXXXX is proposed by using user log profile . we describe three steps of XXXXX approach : concept selection , the generation of optimized XXXXX , the process of translating XXXXX into user-interest ontology . it is worth to be mentioned that we can revise and update the user-interest ontology using the optimized XXXXX by fca . the more time the user uses search engine , the richer knowledge the user-interest ontology contains	['concept lattice', 'ontology construction']
the user-interest ontology construction is proposed by using user log profile . we describe three steps of ontology construction approach : concept selection , the generation of optimized XXXXX , the process of translating XXXXX into user-interest ontology . it is worth to be mentioned that we can revise and update the user-interest ontology using the optimized XXXXX by fca . the more time the user uses XXXXX , the richer knowledge the user-interest ontology contains	['concept lattice', 'search engine']
the user-interest XXXXX is proposed by using user log profile . we describe three steps of XXXXX approach : concept selection , the generation of optimized XXXXX , the process of translating XXXXX into user-interest ontology . it is worth to be mentioned that we can revise and update the user-interest ontology using the optimized XXXXX by fca . the more time the user uses search engine , the richer knowledge the user-interest ontology contains	['concept lattice', 'ontology construction']
the user-interest XXXXX is proposed by using user log profile . we describe three steps of XXXXX approach : concept selection , the generation of optimized XXXXX , the process of translating XXXXX into user-interest ontology . it is worth to be mentioned that we can revise and update the user-interest ontology using the optimized XXXXX by fca . the more time the user uses search engine , the richer knowledge the user-interest ontology contains	['concept lattice', 'ontology construction']
the user-interest ontology construction is proposed by using user log profile . we describe three steps of ontology construction approach : concept selection , the generation of optimized XXXXX , the process of translating XXXXX into user-interest ontology . it is worth to be mentioned that we can revise and update the user-interest ontology using the optimized XXXXX by fca . the more time the user uses XXXXX , the richer knowledge the user-interest ontology contains	['concept lattice', 'search engine']
the user-interest XXXXX is proposed by using user log profile . we describe three steps of XXXXX approach : concept selection , the generation of optimized XXXXX , the process of translating XXXXX into user-interest ontology . it is worth to be mentioned that we can revise and update the user-interest ontology using the optimized XXXXX by fca . the more time the user uses search engine , the richer knowledge the user-interest ontology contains	['concept lattice', 'ontology construction']
the user-interest XXXXX is proposed by using user log profile . we describe three steps of XXXXX approach : concept selection , the generation of optimized XXXXX , the process of translating XXXXX into user-interest ontology . it is worth to be mentioned that we can revise and update the user-interest ontology using the optimized XXXXX by fca . the more time the user uses search engine , the richer knowledge the user-interest ontology contains	['concept lattice', 'ontology construction']
the user-interest XXXXX is proposed by using user log profile . we describe three steps of XXXXX approach : concept selection , the generation of optimized concept lattice , the process of translating concept lattice into user-interest ontology . it is worth to be mentioned that we can revise and update the user-interest ontology using the optimized concept lattice by fca . the more time the user uses XXXXX , the richer knowledge the user-interest ontology contains	['search engine', 'ontology construction']
the user-interest XXXXX is proposed by using user log profile . we describe three steps of XXXXX approach : concept selection , the generation of optimized concept lattice , the process of translating concept lattice into user-interest ontology . it is worth to be mentioned that we can revise and update the user-interest ontology using the optimized concept lattice by fca . the more time the user uses XXXXX , the richer knowledge the user-interest ontology contains	['search engine', 'ontology construction']
based on user-interest ontology , we propose the seed urls selection approach . the user feature concept vectors , the XXXXX pages , the base set of hits , bipartite XXXXX , and the complete bipartite XXXXX are discussed for the seed urls selection based on user-interest ontology . the advantage of the approach is combing the semantic content and link information of web pages	['semantic web', 'directed graph']
based on user-interest ontology , we propose the seed urls selection approach . the user feature concept vectors , the XXXXX pages , the base set of hits , bipartite XXXXX , and the complete bipartite XXXXX are discussed for the seed urls selection based on user-interest ontology . the advantage of the approach is combing the semantic content and link information of web pages	['semantic web', 'directed graph']
based on user-interest ontology , we propose the seed urls selection approach . the user feature concept vectors , the XXXXX pages , the base set of hits , bipartite directed graph , and the complete bipartite directed graph are discussed for the seed urls selection based on user-interest ontology . the advantage of the approach is combing the semantic content and link information of XXXXX	['semantic web', 'web pages']
based on user-interest ontology , we propose the seed urls XXXXX . the user feature concept vectors , the XXXXX pages , the base set of hits , bipartite directed graph , and the complete bipartite directed graph are discussed for the seed urls selection based on user-interest ontology . the advantage of the approach is combing the semantic content and link information of web pages	['semantic web', 'selection approach']
based on user-interest ontology , we propose the seed urls selection approach . the user feature concept vectors , the semantic XXXXX , the base set of hits , bipartite XXXXX , and the complete bipartite XXXXX are discussed for the seed urls selection based on user-interest ontology . the advantage of the approach is combing the semantic content and link information of XXXXX	['directed graph', 'web pages']
